Date,Open,High,Low,Close,Volume
8-Sep-22,25,26.74,24.07,25.83,"14,142,214"
9-Sep-22,26.3,29.08,26.1,28.92,"7,916,490"
12-Sep-22,29.03,30.34,28,29.24,"6,175,210"
13-Sep-22,27.4,28.61,27.32,27.85,"3,657,164"
14-Sep-22,27.56,28.45,26.65,28.13,"3,605,752"
15-Sep-22,27.86,29.07,27.86,28.61,"3,329,490"
16-Sep-22,28.33,28.8,27.78,28.64,"4,656,038"
19-Sep-22,28.34,29.65,28.15,28.96,"3,403,984"
20-Sep-22,29.28,29.33,27.18,27.54,"3,145,901"
21-Sep-22,27.45,28.99,26.77,26.86,"3,859,156"
22-Sep-22,27.17,27.27,24.38,24.7,"4,346,547"
23-Sep-22,24.15,25.15,24.06,25.04,"3,622,430"
26-Sep-22,24.66,25.87,24.12,24.48,"3,440,279"
27-Sep-22,25.47,26.39,25.13,26.13,"4,487,179"
28-Sep-22,25.89,27.5,25.62,27.31,"2,630,051"
29-Sep-22,27.08,27.69,24.69,25.46,"4,118,215"
30-Sep-22,25.03,25.82,24.44,25.13,"3,148,331"
3-Oct-22,25.14,25.63,24.21,25.38,"2,653,852"
4-Oct-22,25.95,27.83,25.95,27.6,"4,581,855"
5-Oct-22,26.77,26.98,25.43,26.39,"2,986,448"
6-Oct-22,26.29,27,25.8,25.99,"2,418,721"
7-Oct-22,25.84,25.84,24.42,25.35,"3,270,565"
10-Oct-22,25.37,26.5,24.75,25,"2,917,594"
11-Oct-22,24.87,26.3,23.95,25.27,"4,195,897"
12-Oct-22,25.96,26.89,25.27,25.36,"3,284,353"
13-Oct-22,24.42,26.59,23.91,25.56,"3,516,164"
14-Oct-22,25.77,26.37,24.63,24.63,"2,778,436"
17-Oct-22,25.37,26.41,25.24,25.96,"3,172,241"
18-Oct-22,27.1,27.74,26.13,26.67,"4,402,577"
19-Oct-22,26,26.18,24.27,24.54,"5,318,442"
20-Oct-22,24.65,25.45,24.07,24.41,"5,148,627"
21-Oct-22,24.15,25.33,24.1,25.3,"3,036,299"
24-Oct-22,25,25.19,24.11,24.71,"3,114,308"
25-Oct-22,24.82,27.79,24.8,26.87,"7,791,571"
26-Oct-22,26.37,27.48,25.32,25.42,"3,866,779"
27-Oct-22,25.75,26.33,25.2,25.93,"2,422,933"
28-Oct-22,26.88,28.79,26.42,28.17,"8,089,647"
31-Oct-22,31.22,34.99,27.91,28.31,"24,027,607"
1-Nov-22,29.4,29.69,27.62,28.39,"5,147,499"
2-Nov-22,27.9,28.75,26.5,26.62,"4,143,900"
3-Nov-22,26,27.29,26,26.29,"3,384,428"
4-Nov-22,26.6,27.03,25.34,26.51,"4,137,984"
7-Nov-22,26.25,26.3,24.8,25.76,"3,303,627"
8-Nov-22,25.33,25.85,24.11,25.14,"4,695,117"
9-Nov-22,24.55,24.67,21.89,23.11,"8,464,777"
10-Nov-22,24.62,25.7,23.91,24.88,"6,106,952"
11-Nov-22,24.78,26.12,24.15,26.1,"3,986,182"
14-Nov-22,26.3,27.38,25.61,26.05,"4,350,537"
15-Nov-22,26.59,28.24,26.27,27.59,"5,391,975"
16-Nov-22,26.62,27.35,26.37,27.14,"2,452,335"
17-Nov-22,26.3,27.76,26.15,27.76,"2,477,693"
18-Nov-22,28.16,28.7,26.83,27.6,"3,087,420"
21-Nov-22,26.66,27.83,24.86,25.16,"4,443,252"
22-Nov-22,25.13,26.45,24.7,26.3,"4,240,402"
23-Nov-22,25.92,27.14,25.92,26.7,"2,737,491"
25-Nov-22,26.5,27.05,26.14,26.17,"1,122,700"
28-Nov-22,25.79,26.44,25.21,25.29,"2,453,744"
29-Nov-22,25.58,26.35,25.32,25.6,"2,029,480"
30-Nov-22,25.9,26.23,24.91,26.21,"3,731,072"
1-Dec-22,26,27.5,25.18,26.6,"7,615,154"
2-Dec-22,26.25,27.87,26.11,27.52,"4,577,177"
5-Dec-22,27.31,27.48,25.44,25.56,"4,973,747"
6-Dec-22,25.41,25.58,23.11,23.39,"7,699,321"
7-Dec-22,23.4,23.61,21.97,22.26,"10,078,219"
8-Dec-22,22,25,21.97,24.79,"10,252,000"
9-Dec-22,24.59,24.59,22.59,22.63,"5,326,676"
12-Dec-22,22.66,23.15,22.18,22.67,"3,750,805"
13-Dec-22,23.55,23.7,20.83,21,"6,305,646"
14-Dec-22,21.19,22,21.01,21.05,"4,604,808"
15-Dec-22,20.74,21.44,20.24,20.58,"6,444,512"
16-Dec-22,20.48,21.12,20.01,20.8,"9,379,717"
19-Dec-22,20.55,20.89,19.59,19.92,"3,700,556"
20-Dec-22,19.86,21.32,19.62,20.26,"4,478,987"
